item_key,contract_month,trade_date,close_price,unit_price,change_amount,change_rate_pct,converted_price
wheat_srw,2025-09,2025-08-01,516.75,189.87,-6.5,-1.24,189.87
wheat_srw,2025-09,2025-08-04,516.75,189.87,0,0,189.87
wheat_srw,2025-09,2025-08-05,508.25,186.75,-8.5,-1.64,186.75
wheat_srw,2025-09,2025-08-06,508.5,186.84,0.25,0.05,186.84
wheat_srw,2025-09,2025-08-07,518.25,190.42,9.75,1.92,190.42
wheat_srw,2025-09,2025-08-08,514.5,189.05,-3.75,-0.72,189.05
wheat_srw,2025-09,2025-08-11,515,189.23,0.5,0.1,189.23
wheat_srw,2025-09,2025-08-12,505,185.56,-10,-1.94,185.56
wheat_srw,2025-09,2025-08-13,507.25,186.38,2.25,0.45,186.38
wheat_srw,2025-09,2025-08-14,503.5,185,-3.75,-0.74,185
wheat_srw,2025-09,2025-08-15,506.5,186.11,3,0.6,186.11
wheat_srw,2025-09,2025-08-18,502.75,184.73,-3.75,-0.74,184.73
wheat_srw,2025-09,2025-08-19,498.5,183.17,-4.25,-0.85,183.17
wheat_srw,2025-09,2025-08-20,505.5,185.74,7,1.4,185.74
wheat_srw,2025-09,2025-08-21,507,186.29,1.5,0.3,186.29
wheat_srw,2025-09,2025-08-22,504.75,185.46,-2.25,-0.44,185.46
wheat_srw,2025-09,2025-08-25,506.75,186.2,2,0.4,186.2
wheat_srw,2025-09,2025-08-26,509.5,187.21,2.75,0.54,187.21
wheat_srw,2025-09,2025-08-27,502.25,184.55,-7.25,-1.42,184.55
wheat_srw,2025-09,2025-08-28,510.25,187.48,8,1.59,187.48
wheat_srw,2025-09,2025-08-29,518,190.33,7.75,1.52,190.33
wheat_srw,2025-09,2025-09-02,513,188.5,-5,-0.97,188.5
wheat_srw,2025-09,2025-09-03,504,185.19,-9,-1.75,185.19
wheat_srw,2025-09,2025-09-04,502.25,184.55,-1.75,-0.35,184.55
wheat_srw,2025-09,2025-09-05,501,184.09,-1.25,-0.25,184.09
wheat_srw,2025-09,2025-09-08,505.5,185.74,4.5,0.9,185.74
wheat_srw,2025-09,2025-09-09,500.75,183.99,-4.75,-0.94,183.99
wheat_srw,2025-09,2025-09-10,495,181.88,-5.75,-1.15,181.88
wheat_srw,2025-09,2025-09-11,503,184.82,8,1.62,184.82
wheat_srw,2025-09,2025-09-12,503,184.82,0,0,184.82
wheat_srw,2025-12,2025-09-15,525,192.9,22,4.37,192.9
wheat_srw,2025-12,2025-09-16,534,196.21,9,1.71,196.21
wheat_srw,2025-12,2025-09-17,528.25,194.1,-5.75,-1.08,194.1
wheat_srw,2025-12,2025-09-18,524.25,192.63,-4,-0.76,192.63
wheat_srw,2025-12,2025-09-19,522.5,191.99,-1.75,-0.33,191.99
wheat_srw,2025-12,2025-09-22,510.75,187.67,-11.75,-2.25,187.67
wheat_srw,2025-12,2025-09-23,520.5,191.25,9.75,1.91,191.25
wheat_srw,2025-12,2025-09-24,519.5,190.88,-1,-0.19,190.88
wheat_srw,2025-12,2025-09-25,527,193.64,7.5,1.44,193.64
wheat_srw,2025-12,2025-09-26,519.75,190.98,-7.25,-1.38,190.98
wheat_srw,2025-12,2025-09-29,519.5,190.88,-0.25,-0.05,190.88
wheat_srw,2025-12,2025-09-30,508,186.66,-11.5,-2.21,186.66
wheat_srw,2025-12,2025-10-01,509.25,187.12,1.25,0.25,187.12
wheat_srw,2025-12,2025-10-02,514.75,189.14,5.5,1.08,189.14
wheat_srw,2025-12,2025-10-03,515.25,189.32,0.5,0.1,189.32
wheat_srw,2025-12,2025-10-06,512.75,188.4,-2.5,-0.49,188.4
wheat_srw,2025-12,2025-10-07,506.75,186.2,-6,-1.17,186.2
wheat_srw,2025-12,2025-10-08,507.25,186.38,0.5,0.1,186.38
wheat_srw,2025-12,2025-10-09,506.5,186.11,-0.75,-0.15,186.11
wheat_srw,2025-12,2025-10-10,498.5,183.17,-8,-1.58,183.17
wheat_srw,2025-12,2025-10-13,496.75,182.52,-1.75,-0.35,182.52
wheat_srw,2025-12,2025-10-14,500.25,183.81,3.5,0.7,183.81
wheat_srw,2025-12,2025-10-15,498.75,183.26,-1.5,-0.3,183.26
wheat_srw,2025-12,2025-10-16,502.5,184.64,3.75,0.75,184.64
wheat_srw,2025-12,2025-10-17,503.75,185.1,1.25,0.25,185.1
wheat_srw,2025-12,2025-10-20,504.75,185.46,1,0.2,185.46
wheat_srw,2025-12,2025-10-21,500.25,183.81,-4.5,-0.89,183.81
wheat_srw,2025-12,2025-10-22,503.75,185.1,3.5,0.7,185.1
wheat_srw,2025-12,2025-10-23,513,188.5,9.25,1.84,188.5
wheat_srw,2025-12,2025-10-24,512.5,188.31,-0.5,-0.1,188.31
wheat_srw,2025-12,2025-10-27,526,193.27,13.5,2.63,193.27
wheat_srw,2025-12,2025-10-28,529,194.37,3,0.57,194.37
wheat_srw,2025-12,2025-10-29,532.25,195.57,3.25,0.61,195.57
wheat_srw,2025-12,2025-10-30,524.25,192.63,-8,-1.5,192.63
wheat_srw,2025-12,2025-10-31,534,196.21,9.75,1.86,196.21
wheat_srw,2025-12,2025-11-03,543.5,199.7,9.5,1.78,199.7
wheat_srw,2025-12,2025-11-04,550.25,202.18,6.75,1.24,202.18
wheat_srw,2025-12,2025-11-05,554.75,203.84,4.5,0.82,203.84
