item_category_code,item_code,kind_code,rank_code,observed_date,price_scope_type,scope_name,price,unit_price
500,9903,21,71,2026-05-25,AVERAGE,평균,4128,412.80
500,9903,21,71,2026-05-25,NATIONAL,전국,4128,412.80
500,9903,21,71,2026-05-25,NORMAL_YEAR,평년,3625,362.50
500,9903,21,71,2026-05-26,AVERAGE,평균,4125,412.50
500,9903,21,71,2026-05-26,NATIONAL,전국,4125,412.50
500,9903,21,71,2026-05-26,NORMAL_YEAR,평년,3609,360.90
500,9903,21,71,2026-05-27,AVERAGE,평균,4125,412.50
500,9903,21,71,2026-05-27,NATIONAL,전국,4125,412.50
500,9903,21,71,2026-05-27,NORMAL_YEAR,평년,3610,361.00
500,9903,21,71,2026-05-28,AVERAGE,평균,5180,518.00
500,9903,21,71,2026-05-28,NATIONAL,전국,5180,518.00
500,9903,21,71,2026-05-28,NORMAL_YEAR,평년,3610,361.00
500,9903,21,71,2026-05-29,AVERAGE,평균,5172,517.20
500,9903,21,71,2026-05-29,NATIONAL,전국,5172,517.20
500,9903,21,71,2026-05-29,NORMAL_YEAR,평년,3609,360.90
500,9903,21,71,2026-05-30,AVERAGE,평균,5173,517.30
500,9903,21,71,2026-05-30,NATIONAL,전국,5173,517.30
500,9903,21,71,2026-05-30,NORMAL_YEAR,평년,3612,361.20
500,9903,21,71,2026-05-31,AVERAGE,평균,5171,517.10
500,9903,21,71,2026-05-31,NATIONAL,전국,5171,517.10
500,9903,21,71,2026-05-31,NORMAL_YEAR,평년,3623,362.30
500,9903,21,71,2026-06-01,AVERAGE,평균,5133,513.30
500,9903,21,71,2026-06-01,NATIONAL,전국,5133,513.30
500,9903,21,71,2026-06-01,NORMAL_YEAR,평년,3627,362.70
500,9903,21,71,2026-06-02,AVERAGE,평균,5129,512.90
500,9903,21,71,2026-06-02,NATIONAL,전국,5129,512.90
500,9903,21,71,2026-06-02,NORMAL_YEAR,평년,3624,362.40
500,9903,21,71,2026-06-03,AVERAGE,평균,5129,512.90
500,9903,21,71,2026-06-03,NATIONAL,전국,5129,512.90
500,9903,21,71,2026-06-03,NORMAL_YEAR,평년,3644,364.40
500,9903,21,71,2026-06-04,AVERAGE,평균,5133,513.30
500,9903,21,71,2026-06-04,NATIONAL,전국,5133,513.30
500,9903,21,71,2026-06-04,NORMAL_YEAR,평년,3639,363.90
500,9903,21,71,2026-06-05,AVERAGE,평균,5212,521.20
500,9903,21,71,2026-06-05,NATIONAL,전국,5212,521.20
500,9903,21,71,2026-06-05,NORMAL_YEAR,평년,3634,363.40
500,9903,21,71,2026-06-06,AVERAGE,평균,5212,521.20
500,9903,21,71,2026-06-06,NATIONAL,전국,5212,521.20
500,9903,21,71,2026-06-06,NORMAL_YEAR,평년,3624,362.40
500,9903,21,71,2026-06-07,AVERAGE,평균,5209,520.90
500,9903,21,71,2026-06-07,NATIONAL,전국,5209,520.90
500,9903,21,71,2026-06-07,NORMAL_YEAR,평년,3602,360.20
500,9903,21,71,2026-06-08,AVERAGE,평균,5238,523.80
500,9903,21,71,2026-06-08,NATIONAL,전국,5238,523.80
500,9903,21,71,2026-06-08,NORMAL_YEAR,평년,3594,359.40
500,9903,21,71,2026-06-09,AVERAGE,평균,5241,524.10
500,9903,21,71,2026-06-09,NATIONAL,전국,5241,524.10
500,9903,21,71,2026-06-09,NORMAL_YEAR,평년,3575,357.50
500,9903,21,71,2026-06-10,AVERAGE,평균,5241,524.10
500,9903,21,71,2026-06-10,NATIONAL,전국,5241,524.10
500,9903,21,71,2026-06-10,NORMAL_YEAR,평년,3551,355.10
500,9903,21,71,2026-06-11,AVERAGE,평균,5246,524.60
500,9903,21,71,2026-06-11,NATIONAL,전국,5246,524.60
500,9903,21,71,2026-06-11,NORMAL_YEAR,평년,3550,355.00
500,9903,21,71,2026-06-12,AVERAGE,평균,5261,526.10
500,9903,21,71,2026-06-12,NATIONAL,전국,5261,526.10
500,9903,21,71,2026-06-12,NORMAL_YEAR,평년,3548,354.80
500,9903,21,71,2026-06-13,AVERAGE,평균,5261,526.10
500,9903,21,71,2026-06-13,NATIONAL,전국,5261,526.10
500,9903,21,71,2026-06-13,NORMAL_YEAR,평년,3549,354.90
500,9903,21,71,2026-06-14,AVERAGE,평균,5261,526.10
500,9903,21,71,2026-06-14,NATIONAL,전국,5261,526.10
500,9903,21,71,2026-06-14,NORMAL_YEAR,평년,3574,357.40
500,9903,21,71,2026-06-15,AVERAGE,평균,5266,526.60
500,9903,21,71,2026-06-15,NATIONAL,전국,5266,526.60
500,9903,21,71,2026-06-15,NORMAL_YEAR,평년,3583,358.30
500,9903,21,71,2026-06-16,AVERAGE,평균,5262,526.20
500,9903,21,71,2026-06-16,NATIONAL,전국,5262,526.20
500,9903,21,71,2026-06-16,NORMAL_YEAR,평년,3588,358.80
500,9903,21,71,2026-06-17,AVERAGE,평균,5265,526.50
500,9903,21,71,2026-06-17,NATIONAL,전국,5265,526.50
500,9903,21,71,2026-06-17,NORMAL_YEAR,평년,3593,359.30
500,9903,21,71,2026-06-18,AVERAGE,평균,5262,526.20
500,9903,21,71,2026-06-18,NATIONAL,전국,5262,526.20
500,9903,21,71,2026-06-18,NORMAL_YEAR,평년,3588,358.80
500,9903,21,71,2026-06-19,AVERAGE,평균,5261,526.10
500,9903,21,71,2026-06-19,NATIONAL,전국,5261,526.10
500,9903,21,71,2026-06-19,NORMAL_YEAR,평년,3591,359.10
500,9903,21,71,2026-06-20,AVERAGE,평균,5261,526.10
500,9903,21,71,2026-06-20,NATIONAL,전국,5261,526.10
500,9903,21,71,2026-06-20,NORMAL_YEAR,평년,3578,357.80
500,9903,21,71,2026-06-21,AVERAGE,평균,5279,527.90
500,9903,21,71,2026-06-21,NATIONAL,전국,5279,527.90
500,9903,21,71,2026-06-21,NORMAL_YEAR,평년,3589,358.90
500,9903,21,71,2026-06-22,AVERAGE,평균,5284,528.40
500,9903,21,71,2026-06-22,NATIONAL,전국,5284,528.40
