source_store_name,retailer_name,store_branch_name,row_count
(주)농협유통 대전점,(주)농협유통,대전점,642
(주)농협유통 부산점,(주)농협유통,부산점,694
(주)농협유통 양재점,(주)농협유통,양재점,711
(주)농협유통 창동점,(주)농협유통,창동점,706
(주)농협유통 청주점,(주)농협유통,청주점,677
(주)농협하나로유통 고양점,(주)농협하나로유통,고양점,684
(주)농협하나로유통 광주점,(주)농협하나로유통,광주점,646
(주)농협하나로유통 김해점,(주)농협하나로유통,김해점,689
(주)농협하나로유통 달성점,(주)농협하나로유통,달성점,596
(주)농협하나로유통 성남점,(주)농협하나로유통,성남점,688
(주)농협하나로유통 수원점,(주)농협하나로유통,수원점,758
(주)농협하나로유통 울산점,(주)농협하나로유통,울산점,676
CU(본사),CU,(본사),212
GS25(본사),GS25,(본사),226
GS더프레시강남대치점,GS더프레시,강남대치점,225
GS더프레시강릉입암점,GS더프레시,강릉입암점,225
GS더프레시강릉포남점,GS더프레시,강릉포남점,225
GS더프레시강서증미역점,GS더프레시,강서증미역점,225
GS더프레시개금점,GS더프레시,개금점,225
GS더프레시거제신현점,GS더프레시,거제신현점,225
GS더프레시경주현곡점,GS더프레시,경주현곡점,225
GS더프레시고양지축역점,GS더프레시,고양지축역점,225
GS더프레시광진화양점,GS더프레시,광진화양점,225
GS더프레시구월점,GS더프레시,구월점,225
GS더프레시구포점,GS더프레시,구포점,225
GS더프레시군포당정점,GS더프레시,군포당정점,225
GS더프레시김포감정점,GS더프레시,김포감정점,111
GS더프레시김포사우점,GS더프레시,김포사우점,225
GS더프레시김포한강자이점,GS더프레시,김포한강자이점,225
GS더프레시김해외동점,GS더프레시,김해외동점,225
GS더프레시낙성대점,GS더프레시,낙성대점,225
GS더프레시남양주별내점,GS더프레시,남양주별내점,225
GS더프레시능곡점,GS더프레시,능곡점,225
GS더프레시다대점,GS더프레시,다대점,225
GS더프레시당진송악점,GS더프레시,당진송악점,225
GS더프레시당진점,GS더프레시,당진점,225
GS더프레시대동점,GS더프레시,대동점,225
GS더프레시대방점,GS더프레시,대방점,225
GS더프레시대연혁신점,GS더프레시,대연혁신점,225
GS더프레시대전도마점,GS더프레시,대전도마점,225
GS더프레시도곡렉슬점,GS더프레시,도곡렉슬점,235
GS더프레시도청신도시점,GS더프레시,도청신도시점,225
GS더프레시동소문점,GS더프레시,동소문점,236
GS더프레시동작구청점,GS더프레시,동작구청점,225
GS더프레시동탄중앙점,GS더프레시,동탄중앙점,225
GS더프레시마산점,GS더프레시,마산점,144
GS더프레시마산회원점,GS더프레시,마산회원점,225
GS더프레시마포상암점,GS더프레시,마포상암점,238
GS더프레시만덕점,GS더프레시,만덕점,225
GS더프레시만수점,GS더프레시,만수점,225
GS더프레시명일점,GS더프레시,명일점,225
GS더프레시명장점,GS더프레시,명장점,225
GS더프레시명지국제점,GS더프레시,명지국제점,225
GS더프레시목감레이크점,GS더프레시,목감레이크점,225
GS더프레시목동13점,GS더프레시,목동13점,225
GS더프레시목동7점,GS더프레시,목동7점,236
GS더프레시문경점,GS더프레시,문경점,225
GS더프레시미래점,GS더프레시,미래점,225
GS더프레시방이점,GS더프레시,방이점,225
GS더프레시배곧신도시점,GS더프레시,배곧신도시점,225
GS더프레시본리점,GS더프레시,본리점,225
GS더프레시부산하버시티점,GS더프레시,부산하버시티점,225
GS더프레시부암점,GS더프레시,부암점,225
GS더프레시부평그랑힐스점,GS더프레시,부평그랑힐스점,225
GS더프레시부평산곡점,GS더프레시,부평산곡점,225
GS더프레시부평청천점,GS더프레시,부평청천점,225
GS더프레시북가좌점,GS더프레시,북가좌점,225
GS더프레시분당시범단지점,GS더프레시,분당시범단지점,225
GS더프레시상계점,GS더프레시,상계점,240
GS더프레시서인천점,GS더프레시,서인천점,225
GS더프레시서초점,GS더프레시,서초점,234
GS더프레시성북돈암점,GS더프레시,성북돈암점,225
GS더프레시세종아름점,GS더프레시,세종아름점,225
GS더프레시속초교동점,GS더프레시,속초교동점,225
GS더프레시송도그린워크점,GS더프레시,송도그린워크점,225
GS더프레시송파석촌호수점,GS더프레시,송파석촌호수점,225
GS더프레시송파위례점,GS더프레시,송파위례점,225
GS더프레시송파점,GS더프레시,송파점,225
GS더프레시수원망포점,GS더프레시,수원망포점,225
GS더프레시수원매탄점,GS더프레시,수원매탄점,360
GS더프레시수원아트리움점,GS더프레시,수원아트리움점,225
GS더프레시시흥은계점,GS더프레시,시흥은계점,225
GS더프레시신주례점,GS더프레시,신주례점,225
GS더프레시아산탕정점,GS더프레시,아산탕정점,189
GS더프레시안성점,GS더프레시,안성점,225
GS더프레시안양메가트리아점,GS더프레시,안양메가트리아점,225
GS더프레시양산가촌점,GS더프레시,양산가촌점,225
GS더프레시양산물금점,GS더프레시,양산물금점,225
GS더프레시양천신은점,GS더프레시,양천신은점,225
GS더프레시여의도점,GS더프레시,여의도점,225
GS더프레시연수점,GS더프레시,연수점,225
GS더프레시용인점,GS더프레시,용인점,225
GS더프레시용인포곡점,GS더프레시,용인포곡점,225
GS더프레시울산구영점,GS더프레시,울산구영점,225
GS더프레시울산천곡점,GS더프레시,울산천곡점,225
GS더프레시울산태화점,GS더프레시,울산태화점,225
GS더프레시원주점,GS더프레시,원주점,225
GS더프레시원주혁신점,GS더프레시,원주혁신점,225
GS더프레시위례중앙점,GS더프레시,위례중앙점,225
GS더프레시의왕오전점,GS더프레시,의왕오전점,225
GS더프레시의왕점,GS더프레시,의왕점,225
GS더프레시의정부민락점,GS더프레시,의정부민락점,225
GS더프레시인천동춘점,GS더프레시,인천동춘점,225
GS더프레시인천부개점,GS더프레시,인천부개점,225
GS더프레시인천삼산점,GS더프레시,인천삼산점,225
GS더프레시잠실장미점,GS더프레시,잠실장미점,225
GS더프레시잠실파크리오점,GS더프레시,잠실파크리오점,225
GS더프레시장유대청점,GS더프레시,장유대청점,225
GS더프레시장유점,GS더프레시,장유점,225
GS더프레시종로구기점,GS더프레시,종로구기점,225
GS더프레시종로평창점,GS더프레시,종로평창점,225
GS더프레시주례점,GS더프레시,주례점,225
GS더프레시죽곡점,GS더프레시,죽곡점,225
GS더프레시증평점,GS더프레시,증평점,225
GS더프레시진주신안점,GS더프레시,진주신안점,225
GS더프레시진주평거점,GS더프레시,진주평거점,225
GS더프레시진천점,GS더프레시,진천점,225
GS더프레시진해여좌점,GS더프레시,진해여좌점,225
GS더프레시진해풍호점,GS더프레시,진해풍호점,225
GS더프레시창원감계점,GS더프레시,창원감계점,225
GS더프레시천안두정점,GS더프레시,천안두정점,225
GS더프레시천안쌍용점,GS더프레시,천안쌍용점,225
GS더프레시천안점,GS더프레시,천안점,225
GS더프레시청주봉명점,GS더프레시,청주봉명점,225
GS더프레시청주용담점,GS더프레시,청주용담점,225
GS더프레시청주점,GS더프레시,청주점,225
GS더프레시초읍점,GS더프레시,초읍점,224
GS더프레시충주연수점,GS더프레시,충주연수점,225
GS더프레시충주용산점,GS더프레시,충주용산점,225
GS더프레시토월점,GS더프레시,토월점,225
GS더프레시파주청암점,GS더프레시,파주청암점,225
GS더프레시판교운중점,GS더프레시,판교운중점,231
GS더프레시포천점,GS더프레시,포천점,225
GS더프레시하남미사점,GS더프레시,하남미사점,225
GS더프레시하남점,GS더프레시,하남점,225
GS더프레시하안8점,GS더프레시,하안8점,225
GS더프레시학익점,GS더프레시,학익점,225
GS더프레시해운대마린점,GS더프레시,해운대마린점,225
GS더프레시행신점,GS더프레시,행신점,216
GS더프레시홍천점,GS더프레시,홍천점,225
GS더프레시화명점,GS더프레시,화명점,225
롯데슈퍼G고양삼송점,롯데슈퍼,G고양삼송점,502
롯데슈퍼G대림점,롯데슈퍼,G대림점,502
롯데슈퍼G마포점,롯데슈퍼,G마포점,502
롯데슈퍼G목동점,롯데슈퍼,G목동점,502
