product_key,fis_item,cmdt_id,cmdt_se_cd,unit,인도월,거래일자,종가(USD/ton),전일대비,등락률(%),환산가($/ton)
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-31,461.6,상승 4.9,상승 1.07%,461.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-30,456.7,하락 1.7,하락 0.37%,456.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-29,458.4,상승 1.6,상승 0.35%,458.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-28,456.8,하락 1.6,하락 0.35%,456.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-27,458.4,하락 2.4,하락 0.52%,458.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-24,460.8,상승 1.0,상승 0.22%,460.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-23,459.8,하락 4.9,하락 1.05%,459.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-22,464.7,하락 4.6,하락 0.98%,464.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-21,469.3,상승 2.1,상승 0.45%,469.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-20,467.2,하락 2.7,하락 0.57%,467.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-17,469.9,상승 15.3,상승 3.37%,469.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-16,443.5,하락 5.7,하락 1.27%,443.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-15,449.2,하락 14.2,하락 3.06%,449.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.09,2026-07-14,463.4,상승 0.3,상승 0.06%,463.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-07-13,463.1,하락 4.0,하락 0.86%,463.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-07-10,467.1,하락 11.5,하락 2.4%,467.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-07-09,478.6,하락 2.0,하락 0.42%,478.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-07-08,480.6,상승 4.7,상승 0.99%,480.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-07-07,475.9,하락 12.5,하락 2.56%,475.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-07-06,488.4,상승 3.0,상승 0.62%,488.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-07-03,485.4,상승 2.3,상승 0.48%,485.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-07-02,483.1,상승 0.2,상승 0.04%,483.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-07-01,482.9,상승 8.3,상승 1.75%,482.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-30,474.6,상승 1.0,상승 0.21%,474.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-29,473.6,상승 9.6,상승 2.07%,473.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-26,464.0,상승 19.3,상승 4.34%,464.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-25,444.7,하락 0.1,하락 0.02%,444.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-24,444.8,상승 3.7,상승 0.84%,444.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-23,441.1,상승 0.7,상승 0.16%,441.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-22,440.4,하락 0.4,하락 0.09%,440.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-19,440.8,하락 4.5,하락 1.01%,440.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-18,445.3,하락 6.9,하락 1.53%,445.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-17,452.2,상승 2.3,상승 0.51%,452.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-16,449.9,상승 7.5,상승 1.7%,449.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-15,442.4,하락 2.2,하락 0.49%,442.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-12,444.6,하락 1.7,하락 0.38%,444.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-11,446.3,상승 2.4,상승 0.54%,446.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-10,443.9,하락 1.1,하락 0.25%,443.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-09,445.0,하락 0.1,하락 0.02%,445.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-08,445.1,하락 1.8,하락 0.4%,445.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-05,446.9,하락 2.3,하락 0.51%,446.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-04,449.2,상승 4.4,상승 0.99%,449.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-03,444.8,하락 1.0,하락 0.22%,444.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-02,445.8,하락 4.2,하락 0.93%,445.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-06-01,450.0,상승 11.8,상승 2.69%,450.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-29,438.2,상승 12.5,상승 2.94%,438.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-28,425.7,하락 4.1,하락 0.95%,425.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-27,429.8,하락 7.1,하락 1.63%,429.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-26,436.9,하락 5.5,하락 1.24%,436.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-25,442.4,0.0,0.0%,442.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-22,442.4,하락 2.6,하락 0.58%,442.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-21,445.0,상승 4.0,상승 0.91%,445.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-20,441.0,0.0,0.0%,441.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-19,441.0,상승 4.5,상승 1.03%,441.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-18,436.5,하락 2.0,하락 0.46%,436.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-15,438.5,하락 4.4,하락 0.99%,438.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-14,442.9,하락 12.5,하락 2.74%,442.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-13,455.4,상승 13.7,상승 3.1%,455.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-12,441.7,상승 4.4,상승 1.01%,441.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-11,437.3,상승 5.3,상승 1.23%,437.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-08,432.0,상승 0.1,상승 0.02%,432.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-07,431.9,하락 5.3,하락 1.21%,431.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-06,437.2,하락 15.0,하락 3.32%,437.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-05,452.2,상승 5.7,상승 1.28%,452.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-04,446.5,0.0,0.0%,446.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-05-01,446.5,상승 7.6,상승 1.73%,446.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-04-30,438.9,하락 5.9,하락 1.33%,438.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-04-29,444.8,상승 11.9,상승 2.75%,444.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-04-28,432.9,상승 5.8,상승 1.36%,432.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-04-27,427.1,하락 8.2,하락 1.88%,427.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-04-24,435.3,상승 7.8,상승 1.82%,435.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-04-23,427.5,상승 3.8,상승 0.9%,427.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-04-22,423.7,상승 1.7,상승 0.4%,423.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-04-21,422.0,상승 4.4,상승 1.05%,422.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-04-20,417.6,상승 5.3,상승 1.29%,417.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-04-17,412.3,하락 6.0,하락 1.43%,412.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.07,2026-04-16,418.3,상승 6.0,상승 1.46%,418.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-04-15,419.5,하락 4.7,하락 1.11%,419.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-04-14,424.2,상승 13.0,상승 3.16%,424.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-04-13,411.2,하락 1.1,하락 0.27%,411.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-04-10,412.3,하락 1.3,하락 0.31%,412.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-04-09,413.6,하락 8.7,하락 2.06%,413.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-04-08,422.3,하락 6.4,하락 1.49%,422.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-04-07,428.7,하락 7.0,하락 1.61%,428.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-04-06,435.7,0.0,0.0%,435.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-04-02,435.7,하락 6.4,하락 1.45%,435.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-04-01,442.1,하락 6.4,하락 1.43%,442.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-31,448.5,하락 3.8,하락 0.84%,448.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-30,452.3,하락 6.3,하락 1.37%,452.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-27,458.6,하락 1.0,하락 0.22%,458.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-26,459.6,상승 5.6,상승 1.23%,459.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-25,454.0,하락 8.6,하락 1.86%,454.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-24,462.6,상승 13.9,상승 3.1%,462.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-23,448.7,하락 2.7,하락 0.6%,448.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-20,451.4,상승 0.2,상승 0.04%,451.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-19,451.2,상승 13.8,상승 3.16%,451.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-18,437.4,상승 11.4,상승 2.68%,437.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-17,426.0,상승 12.3,상승 2.97%,426.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-16,413.7,하락 1.3,하락 0.31%,413.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-13,415.0,상승 0.7,상승 0.17%,415.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-12,414.3,상승 0.7,상승 0.17%,414.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-11,413.6,하락 4.8,하락 1.15%,413.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-10,418.4,하락 2.1,하락 0.5%,418.4
