source_store_name,decision,canonical_place_name,rejected_place_name,address_name,road_address_name,region_1depth_name,region_2depth_name,region_3depth_name,x,y,place_url,store_status,reason,verified_source,verified_at
롯데슈퍼G고양삼송점,verified_match,롯데슈퍼프레시 고양삼송점,,경기 고양시 덕양구 신원동 623,경기 고양시 덕양구 신원로 40-16,경기,고양시,덕양구,126.88970181887879,37.66473723119918,http://place.map.kakao.com/25638687,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G대림점,verified_match,롯데슈퍼프레시 대림점,,서울 영등포구 대림동 784,서울 영등포구 대림로 251,서울,영등포구,대림동,126.89600994958876,37.50299851578311,http://place.map.kakao.com/20239049,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G마포점,verified_match,롯데프레시&델리 마포점,,서울 마포구 구수동 60,서울 마포구 토정로 193,서울,마포구,구수동,126.932566420746,37.5458082301122,http://place.map.kakao.com/20239040,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G목동점,corrected_match,롯데슈퍼프레시 목동점2,,서울 양천구 목동서로 100,서울 양천구 목동서로 100,서울,양천구,목동,126.874169046113,37.5342244045517,,open,corrected_user_provided_store_address,user_verified_kakao_address_api,2026-09-02
롯데슈퍼G방배점,corrected_match,롯데슈퍼프레시 방배점2,롯데슈퍼프레시 방배2점,서울 서초구 방배로33길 29,서울 서초구 방배로33길 29,서울,서초구,방배동,126.989270518102,37.4912422359315,,open,corrected_user_provided_store_address,user_verified_kakao_address_api,2026-09-02
롯데슈퍼G보라점,verified_match,롯데슈퍼프레시 보라점,,경기 용인시 기흥구 보라동 166,경기 용인시 기흥구 사은로126번길 29,경기,용인시,기흥구,127.12068390536103,37.254285561921115,http://place.map.kakao.com/20239039,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G복대점,verified_match,롯데프레시&델리 복대점,,충북 청주시 흥덕구 복대동 491,충북 청주시 흥덕구 진재로 90,충북,청주시,흥덕구,127.43050589299665,36.639101237848486,http://place.map.kakao.com/20239055,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G부곡점,verified_match,롯데슈퍼프레시 부곡점,,경기 의왕시 삼동 170-3,경기 의왕시 부곡시장4길 7,경기,의왕시,삼동,126.95242633661007,37.31820312997872,http://place.map.kakao.com/20239029,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G소사점,verified_match,롯데슈퍼프레시 소사점,,경기 부천시 소사구 소사본동 197-1,경기 부천시 소사구 은성로 82,경기,부천시,소사구,126.79964620259184,37.47494859012037,http://place.map.kakao.com/21344273,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G속초점,verified_match,롯데프레시&델리 속초점,,강원특별자치도 속초시 조양동 1498-2,강원특별자치도 속초시 조양상가길 25,강원특별자치도,속초시,조양동,128.58021405308673,38.19000299820293,http://place.map.kakao.com/20239046,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G속초조양점,verified_match,롯데슈퍼프레시 속초조양점,,강원특별자치도 속초시 조양동 1211,강원특별자치도 속초시 온정로1길 7,강원특별자치도,속초시,조양동,128.59190384535307,38.18537970041501,http://place.map.kakao.com/27363918,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G수지점,corrected_match,롯데슈퍼프레시 수지점2,,경기 용인시 수지구 진산로 24,경기 용인시 수지구 진산로 24,경기,용인시,수지구,127.092812659806,37.3141409247626,,open,corrected_user_provided_store_address,user_verified_kakao_address_api,2026-09-02
롯데슈퍼G신곡점,verified_match,롯데슈퍼프레시 신곡점,,경기 의정부시 신곡동 560,경기 의정부시 동일로 583,경기,의정부시,신곡동,127.05618814264592,37.74023946372426,http://place.map.kakao.com/20239032,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G운정점,verified_match,롯데슈퍼프레시 운정점,,경기 파주시 와동동 1304-1,경기 파주시 미래로602번길 10,경기,파주시,와동동,126.75232067858323,37.73108432280424,http://place.map.kakao.com/21296615,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G유진점,verified_match,롯데슈퍼프레시 유진점,,서울 서대문구 홍제동 294-46,서울 서대문구 통일로 484,서울,서대문구,홍제동,126.94329430726096,37.59152047030609,http://place.map.kakao.com/20560570,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G은마점,verified_match,롯데슈퍼프레시 은마점,,서울 강남구 대치동 316,서울 강남구 삼성로 212,서울,강남구,대치동,127.06434755229363,37.49553489597998,http://place.map.kakao.com/20239048,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G은평점,verified_match,롯데슈퍼프레시 은평점,,서울 은평구 진관동 209-41,서울 은평구 진관2로 117,서울,은평구,진관동,126.93058430439889,37.634346681623605,http://place.map.kakao.com/20239060,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G전곡점,verified_match,롯데슈퍼프레시 전곡점,,경기 연천군 전곡읍 은대리 566,경기 연천군 전곡읍 전곡로 187-1,경기,연천군,전곡읍,127.066310640092,38.02814987574263,http://place.map.kakao.com/20239043,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G중동점,verified_match,롯데슈퍼프레시 중동점,,경기 부천시 원미구 중동 1107,경기 부천시 원미구 신흥로 190-1,경기,부천시,원미구,126.77799103585477,37.50097059011369,http://place.map.kakao.com/1702299843,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G철원점,verified_match,롯데슈퍼프레시 철원점,,강원특별자치도 철원군 동송읍 이평리 704-16,강원특별자치도 철원군 동송읍 이평2로 14,강원특별자치도,철원군,동송읍,127.22083785617998,38.20584656903654,http://place.map.kakao.com/20239113,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
