상품명,제조사,matching_keyword,row_count,store_count,distinct_survey_date_count,first_survey_date,last_survey_date
CJ 1등급 깨끗한 계란(10개),CJ프레시웨이,계란,39,4,13,2026-01-30,2026-07-24
CJ 1등급 깨끗한 계란(15개),CJ프레시웨이,계란,3523,307,13,2026-01-30,2026-07-24
곰표 밀가루 중력다목적용(1kg),대한제분,밀가루,7546,322,25,2025-07-04,2026-07-24
곰표 우리밀밀가루 중력분(900g),대한제분,밀가루,2495,129,25,2025-07-04,2026-07-24
남양 아인슈타인 무항생제 우유(900ml),남양유업,우유,3218,146,25,2025-07-04,2026-07-24
남양유업 맛있는우유GT(900ml),남양유업,우유,10990,460,25,2025-07-04,2026-07-24
덴마크 대니쉬우유 오리지널(900ml),동원에프앤비,우유,4347,200,25,2025-07-04,2026-07-24
덴마크 산양우유(750ml),동원에프앤비,우유,7373,325,25,2025-07-04,2026-07-24
매일 소화가 잘되는 우유(930ml),매일유업,우유,7973,345,25,2025-07-04,2026-07-24
매일우유 오리지널(900ml),매일유업,우유,11102,464,25,2025-07-04,2026-07-24
매일우유 저지방 1%(900ml),매일유업,우유,2414,199,13,2026-01-30,2026-07-24
바프 허니버터아몬드(120g),바프,버터,4096,328,13,2026-01-30,2026-07-24
백설 갈색설탕(1kg),CJ제일제당,설탕,8108,343,25,2025-07-04,2026-07-24
백설 박력 밀가루(1kg),CJ제일제당,밀가루,7967,342,25,2025-07-04,2026-07-24
백설 브라운 자일로스 설탕(1kg),CJ제일제당,설탕,7966,336,25,2025-07-04,2026-07-24
백설 자일로스 설탕(1kg),CJ제일제당,설탕,7025,288,25,2025-07-04,2026-07-24
백설 중력 밀가루(1kg),CJ제일제당,밀가루,11199,464,25,2025-07-04,2026-07-24
백설 찰밀가루(1kg),CJ제일제당,밀가루,8013,341,25,2025-07-04,2026-07-24
백설 하얀설탕(1kg),CJ제일제당,설탕,11234,464,25,2025-07-04,2026-07-24
백설 흑설탕(1kg),CJ제일제당,설탕,7989,340,25,2025-07-04,2026-07-24
버터롤 클래식(21개입),삼립식품,버터,10390,439,25,2025-07-04,2026-07-24
상하목장 슬로우버터 무염(100g),매일유업,버터,565,30,25,2025-07-04,2026-07-24
서울 저지방 우유(1L),서울우유,우유,3842,333,12,2025-07-04,2025-12-19
서울우유 버터(450g),서울우유,버터|우유,11168,460,25,2025-07-04,2026-07-24
서울우유 저지방 우유(1L),서울우유,우유,3999,329,13,2026-01-30,2026-07-24
서울우유 체다슬라이스치즈(270g),서울우유,우유,183,21,25,2025-07-04,2026-07-24
서울우유 체다슬라이스치즈(360g),서울우유,우유,10196,460,25,2025-07-04,2026-07-24
서울우유 흰우유(1L),서울우유,우유,11138,466,25,2025-07-04,2026-07-24
알라 무염버터(400g),매일유업,버터,6649,327,25,2025-07-04,2026-07-24
청정원 유기농 황설탕(454g),대상,설탕,1018,150,25,2025-07-04,2026-07-24
청정원 유기농 흑설탕(454g),대상,설탕,429,21,25,2025-07-04,2026-07-24
촉촉한 우유식빵(330g),삼립식품,우유,4359,191,25,2025-07-04,2026-07-24
큐원 갈색설탕(1kg),삼양사,설탕,7491,315,25,2025-07-04,2026-07-24
큐원 강력 밀가루(1kg),삼양사,밀가루,1181,82,25,2025-07-04,2026-07-24
큐원 박력 밀가루(1kg),삼양사,밀가루,1516,85,25,2025-07-04,2026-07-24
큐원 중력 밀가루(1kg),삼양사,밀가루,3427,147,25,2025-07-04,2026-07-24
큐원 하얀설탕(1kg),삼양사,설탕,4038,315,25,2025-07-04,2026-07-24
큐원 흑설탕(1kg),삼양사,설탕,2507,106,25,2025-07-04,2026-07-24
파스퇴르 프리미엄 홈버터(450g),롯데웰푸드,버터,3190,143,25,2025-07-04,2026-07-24
파스퇴르우유 후레쉬(900ml),롯데삼강,우유,10398,444,25,2025-07-04,2026-07-24
파오리 그란본따 무염 버터(250g),와비스,버터,7,1,7,2025-09-19,2026-07-24
폰테라 앵커버터(227g),서울우유,버터,311,14,25,2025-07-04,2026-07-24
해표 우리밀 밀가루(750g),사조대림,밀가루,379,16,25,2025-07-04,2026-07-24
해표 중력 밀가루(1kg),사조대림,밀가루,262,12,24,2025-07-04,2026-07-24
허니버터아몬드(190g),바프,버터,195,18,12,2025-07-04,2025-12-19
